type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,Peel,L4V,Fast Casual,Franchise,1,Yes,No,1-10,13.66,No
Control,Halton,L7S,Family Style,Franchise,16,No,No,1-10,15.6,No
Control,York,L4E,Premium Casual,Franchise,11,Yes,No,10-20,20.36,No
Control,Toronto,M7L,Fast Food,No,8,Yes,No,10-20,18.73,No
Control,York,L3X,Fast Casual,No,11,No,Yes,1-10,18.3,No
Control,Toronto,M7U,Fast Food,No,8,Yes,No,1-10,15.67,No
Control,Peel,L5A,Fast Food,No,1,Yes,No,1-10,20.08,No
Control,Peel,L6W,Family Style,Franchise,18,Yes,No,10-20,17.77,No
Control,Durham,L0E,Fast Casual,No,3,Yes,No,1-10,15.88,No
Control,Toronto,M3S,Premium Casual,No,20,Yes,No,1-10,21.49,No
Control,Durham,L0C,Fine Dining,No,3,Yes,No,1-10,23.32,No
Control,York,L0E,Fast Casual,Franchise,7,Yes,Yes,1-10,17.59,No
Control,Durham,L1G,Premium Casual,Franchise,2,Yes,No,1-10,15.01,No
Control,Peel,L6T,Fine Dining,Franchise,4,Yes,No,10-20,14.41,No
Control,Halton,L6L,Premium Casual,No,14,Yes,No,1-10,14.39,No
Control,York,L4L,Casual Dining,No,8,Yes,Yes,1-10,10.95,No
Control,York,L0E,Casual Dining,No,11,Yes,Yes,1-10,20.17,No
Control,Halton,L9E,Casual Dining,No,20,Yes,No,10-20,13.96,No
Control,Halton,L7N,Casual Dining,No,0,Yes,Yes,1-10,16.79,No
Control,Peel,L7A,Casual Dining,Franchise,17,Yes,No,1-10,16.3,No
Control,Durham,L9P,Fine Dining,No,0,Yes,No,10-20,22.62,No
Control,Toronto,M6H,Fast Casual,No,10,No,No,1-10,16.04,No
Control,Toronto,M0L,Family Style,No,4,Yes,Yes,10-20,18.45,No
Control,York,L6C,Family Style,Franchise,2,Yes,No,1-10,15.25,No
Control,York,L0E,Casual Dining,No,13,Yes,No,1-10,19.32,No
Control,Peel,L7K,Premium Casual,No,8,Yes,Yes,10-20,18.78,No
Control,Durham,L0C,Casual Dining,No,5,Yes,Yes,1-10,13.37,No
Control,York,L4H,Fast Casual,No,3,Yes,Yes,1-10,15.98,No
Control,Toronto,M3N,Family Style,No,1,Yes,No,1-10,17.28,No
Control,Toronto,M4U,Casual Dining,Franchise,10,Yes,Yes,1-10,19.86,No
Control,Peel,L4V,Fine Dining,Franchise,22,Yes,Yes,10-20,17.11,No
Control,Peel,L5B,Fast Food,Franchise,3,No,No,10-20,20.95,No
Control,Peel,L4V,Premium Casual,Franchise,2,Yes,No,10-20,13.5,No
Control,Peel,L5L,Family Style,Franchise,7,Yes,Yes,10-20,18.4,No
Control,Durham,L0C,Premium Casual,Franchise,13,Yes,Yes,10-20,22.29,No
Control,Peel,L7A,Fast Casual,No,9,Yes,Yes,1-10,15.61,No
Control,Toronto,M9I,Family Style,No,17,Yes,Yes,10-20,15.37,No
Control,Durham,L0C,Casual Dining,Franchise,11,Yes,No,20-30,14.74,No
Control,Toronto,M2R,Fine Dining,No,15,Yes,No,1-10,16.53,No
Control,Toronto,M3B,Casual Dining,No,3,Yes,No,1-10,21.48,No
Control,Peel,L6T,Casual Dining,No,2,Yes,Yes,20-30,24.08,No
Control,Peel,L6Y,Casual Dining,No,1,Yes,Yes,10-20,21.84,No
Control,Peel,L6P,Casual Dining,No,20,Yes,No,1-10,17.58,No
Control,York,L0H,Premium Casual,No,13,Yes,No,1-10,15.26,No
Control,Toronto,M0T,Premium Casual,No,1,Yes,Yes,10-20,21.37,No
Control,Toronto,M3M,Fast Food,Franchise,21,Yes,Yes,1-10,17.62,No
Control,Toronto,M3S,Casual Dining,Franchise,20,Yes,No,1-10,14.4,No
Control,Toronto,M7S,Fast Casual,No,3,Yes,No,10-20,15.39,No
Control,Durham,L0B,Family Style,Franchise,18,Yes,Yes,10-20,22.35,No
Control,Toronto,M7K,Fast Casual,No,20,Yes,Yes,10-20,18.34,No
Control,Halton,L7M,Premium Casual,Franchise,17,Yes,No,10-20,16.66,No
Control,Toronto,M5F,Family Style,Franchise,23,Yes,Yes,10-20,11.96,No
Control,Durham,L0B,Family Style,No,13,Yes,Yes,1-10,13,No
Control,Peel,L5T,Family Style,Franchise,21,No,Yes,1-10,16.81,No
Control,Peel,L4Z,Casual Dining,No,11,Yes,Yes,10-20,19.63,No
Control,Halton,L6J,Casual Dining,No,15,Yes,Yes,1-10,16.28,No
Control,Toronto,M8H,Fast Food,No,3,Yes,No,10-20,22.17,No
Control,Peel,L5H,Fine Dining,Franchise,9,Yes,No,1-10,13.76,No
Control,Toronto,M0Q,Premium Casual,Franchise,14,Yes,Yes,1-10,14.25,No
Control,York,L6A,Premium Casual,No,0,Yes,No,1-10,18.52,No
Control,Peel,L6V,Fast Food,Franchise,8,No,No,1-10,18.94,No
Control,Peel,L5E,Family Style,Franchise,9,Yes,No,1-10,16.87,No
Control,Peel,L4Y,Casual Dining,No,4,Yes,Yes,1-10,13.75,No
Control,Peel,L6S,Premium Casual,No,10,Yes,Yes,10-20,20.72,No
Control,Toronto,M3F,Casual Dining,No,16,Yes,Yes,1-10,17.37,No
Control,York,L7B,Fast Casual,No,3,Yes,Yes,1-10,19.19,No
Control,Toronto,M9N,Casual Dining,No,2,Yes,No,1-10,12.46,No
Control,York,L4A,Fast Casual,No,10,Yes,No,10-20,19.49,No
Control,Peel,L5E,Casual Dining,Franchise,17,Yes,Yes,1-10,18.99,No
Control,York,L4E,Casual Dining,No,16,Yes,Yes,10-20,16.93,No
Control,York,L0E,Family Style,No,6,Yes,No,1-10,17.74,No
Control,Toronto,M3J,Fast Casual,No,8,Yes,No,10-20,14.89,No
Control,Toronto,M2P,Premium Casual,Franchise,6,Yes,No,1-10,14.37,No
Control,Peel,L7A,Family Style,No,10,Yes,No,10-20,21.1,Yes
Control,York,L7B,Fast Casual,No,10,Yes,Yes,10-20,12.75,No
Control,York,L6B,Fast Casual,No,3,Yes,No,10-20,13.34,No
Control,Toronto,M8A,Fast Casual,No,10,Yes,No,10-20,15.22,No
Control,York,L9N,Fast Casual,No,8,Yes,No,10-20,15.96,No
Control,York,L6E,Premium Casual,Franchise,1,Yes,Yes,10-20,17.69,No
Control,Toronto,M6Y,Casual Dining,No,3,Yes,Yes,10-20,14.37,No
Control,Halton,L6K,Fast Casual,No,10,Yes,No,10-20,18.38,No
Control,Peel,L5J,Fast Food,No,8,Yes,Yes,1-10,20.91,No
Control,York,L4B,Casual Dining,Franchise,3,Yes,No,1-10,19.98,No
Control,Peel,L5W,Fast Casual,No,6,Yes,No,10-20,16.85,Yes
Control,Peel,L5B,Family Style,Franchise,9,Yes,No,10-20,15.98,No
Control,Halton,L6L,Fast Food,No,13,Yes,No,1-10,15.28,No
Control,Durham,L9L,Fast Casual,Franchise,2,Yes,No,10-20,22.53,No
Control,Halton,L9T,Family Style,Franchise,12,Yes,No,1-10,14.66,No
Control,Toronto,M1V,Family Style,Franchise,0,Yes,Yes,1-10,16.55,No
Control,Peel,L5W,Casual Dining,Franchise,15,Yes,No,1-10,18.01,No
Control,Durham,L0E,Casual Dining,Franchise,4,Yes,Yes,10-20,20.6,No
Control,York,L0J,Fast Food,No,1,Yes,Yes,1-10,16.96,No
Control,York,L4B,Casual Dining,No,15,Yes,No,1-10,20.74,No
Control,Peel,L5E,Casual Dining,No,7,Yes,No,1-10,17.43,No
Control,Toronto,M9B,Casual Dining,No,4,Yes,No,1-10,14.56,No
Control,York,L3Z,Family Style,No,6,Yes,No,10-20,15.76,No
Control,Peel,L7A,Premium Casual,Franchise,12,Yes,No,10-20,15.86,No
Control,Toronto,M7C,Family Style,No,16,Yes,Yes,10-20,14.55,No
Control,Toronto,M9N,Family Style,No,1,No,Yes,1-10,19.05,No
Control,Durham,L9L,Fine Dining,Franchise,8,Yes,Yes,1-10,18.06,No
Control,Durham,L0B,Casual Dining,No,13,Yes,No,10-20,15.67,No
Control,Peel,L4V,Casual Dining,Franchise,2,No,No,1-10,21.72,No
Control,Peel,L7C,Premium Casual,No,0,Yes,Yes,1-10,15.45,No
Control,York,L9N,Casual Dining,No,0,No,Yes,1-10,20.43,No
Control,Halton,L7N,Family Style,No,4,Yes,Yes,10-20,16.99,No
Control,Peel,L6Y,Family Style,Franchise,6,Yes,No,10-20,20.89,No
Control,Toronto,M4X,Casual Dining,Franchise,6,No,Yes,1-10,16.19,No
Control,York,L4C,Casual Dining,No,14,Yes,No,1-10,18.54,No
Control,Toronto,M4M,Family Style,Franchise,6,Yes,Yes,1-10,18.27,No
Control,Toronto,M6Y,Family Style,Franchise,18,Yes,Yes,1-10,18.37,No
Control,Toronto,M0E,Fast Casual,No,2,Yes,No,10-20,20.15,No
Control,York,L6A,Fast Casual,Franchise,11,Yes,No,10-20,21.07,No
Control,York,L3Y,Casual Dining,No,14,Yes,No,1-10,19.98,No
Control,York,L3Y,Family Style,No,12,Yes,No,10-20,19.83,No
Control,Peel,L6S,Fine Dining,Franchise,7,Yes,No,1-10,22.92,No
Control,Peel,L6V,Family Style,No,9,Yes,No,1-10,19.19,No
Control,Toronto,M6X,Family Style,No,3,Yes,No,1-10,15.94,No
Control,Toronto,M7B,Casual Dining,No,19,Yes,No,10-20,13.98,No
Control,York,L4P,Casual Dining,No,4,No,Yes,10-20,19.64,No
Control,Halton,L0P,Fine Dining,Franchise,21,Yes,No,1-10,21.89,No
Control,Toronto,M3F,Casual Dining,No,10,Yes,No,1-10,19.23,No
Control,York,L0J,Fast Food,No,8,Yes,No,1-10,17.12,No
Control,Toronto,M9D,Fast Food,No,12,Yes,Yes,10-20,19.5,No
Control,Peel,L5J,Fast Food,Franchise,8,Yes,No,1-10,12.97,No
Control,Peel,L7A,Fine Dining,Franchise,14,Yes,No,1-10,13.48,No
Control,Durham,L0E,Fast Casual,No,8,Yes,No,1-10,16.83,No
Control,Peel,L4W,Casual Dining,Franchise,12,Yes,No,1-10,18.78,No
Control,Halton,L0P,Family Style,No,7,Yes,Yes,10-20,20.64,No
Control,York,L3R,Family Style,No,5,No,Yes,1-10,16.64,No
Control,Durham,L0B,Fine Dining,No,6,Yes,Yes,1-10,11.95,No
Control,Durham,L9P,Fine Dining,No,7,Yes,No,>30,15.98,No
Control,York,L6A,Fast Casual,No,9,Yes,Yes,10-20,14.24,No
Control,Durham,L9L,Casual Dining,Franchise,4,Yes,Yes,1-10,13.57,No
Control,Halton,L9E,Casual Dining,No,19,Yes,Yes,10-20,15.39,No
Control,Toronto,M0Y,Casual Dining,No,3,Yes,No,1-10,13.85,No
Control,York,L0G,Fast Casual,No,1,Yes,No,10-20,15.56,No
Control,Durham,L0B,Casual Dining,No,1,Yes,Yes,10-20,13.93,No
Control,Halton,L7P,Fast Casual,No,18,Yes,No,20-30,17.31,No
Control,Peel,L4X,Fine Dining,Franchise,16,No,No,10-20,16.85,No
Control,Peel,L6Y,Family Style,Franchise,5,No,Yes,1-10,15.85,No
Control,Toronto,M2H,Fine Dining,No,11,Yes,No,1-10,14.24,No
Control,Toronto,M0G,Casual Dining,Franchise,14,Yes,Yes,1-10,19.23,No
Control,Durham,L1T,Family Style,Franchise,14,No,Yes,1-10,18.35,No
Control,Toronto,M0K,Fast Food,No,15,Yes,No,1-10,16.76,No
Control,Peel,L7A,Family Style,No,13,No,No,1-10,16.16,No
Control,Halton,L6J,Family Style,No,12,Yes,No,10-20,15.95,No
Control,Toronto,M7P,Fast Casual,Franchise,6,Yes,No,10-20,20.03,No
Control,Peel,L5H,Family Style,No,8,Yes,No,1-10,16.9,No
Control,Durham,L0B,Premium Casual,Franchise,6,Yes,Yes,10-20,17.79,No
Control,York,L3P,Casual Dining,Franchise,15,Yes,Yes,1-10,16.03,No
Control,Peel,L4V,Fast Food,No,2,Yes,Yes,1-10,14.97,No
Control,Halton,L9T,Family Style,No,8,Yes,No,10-20,18.67,No
Control,Toronto,M8A,Casual Dining,No,14,Yes,Yes,1-10,17.59,No
Control,Durham,L9P,Casual Dining,No,9,Yes,Yes,20-30,17.9,No
Control,Peel,L7A,Family Style,Franchise,5,Yes,No,1-10,15.82,No
Control,Peel,L7A,Fast Casual,No,8,Yes,Yes,10-20,17.59,No
Control,Toronto,M4J,Family Style,Franchise,2,Yes,No,1-10,16.84,No
Control,Peel,L7K,Fast Casual,No,33,Yes,Yes,1-10,18.6,No
Control,Toronto,M8C,Family Style,No,5,Yes,Yes,10-20,16.42,No
Control,Durham,L1B,Family Style,No,26,Yes,No,10-20,17.58,No
Control,Toronto,M4V,Casual Dining,No,3,Yes,Yes,1-10,16.59,No
Control,Toronto,M3A,Fine Dining,No,18,Yes,Yes,1-10,13.87,No
Control,York,L9N,Family Style,No,14,Yes,No,1-10,13.2,No
Control,Toronto,M7A,Premium Casual,No,18,Yes,No,1-10,17.17,No
Control,York,L6A,Fast Casual,Franchise,12,Yes,No,10-20,17.76,No
Control,Halton,L6H,Casual Dining,No,13,Yes,Yes,1-10,14.81,No
Control,Peel,L7C,Premium Casual,No,8,Yes,Yes,10-20,17.62,No
Control,Toronto,M1O,Premium Casual,Franchise,7,Yes,Yes,10-20,19.74,No
Control,York,L9N,Family Style,Franchise,24,Yes,Yes,10-20,19.11,No
Control,Halton,L0P,Premium Casual,No,2,Yes,No,10-20,17.52,No
Control,York,L0J,Fast Casual,Franchise,3,No,Yes,1-10,21.74,No
Control,Durham,L0E,Fast Food,No,10,Yes,Yes,1-10,18.8,No
Control,Peel,L6V,Casual Dining,No,2,Yes,Yes,1-10,16.2,No
Control,Peel,L7C,Fast Casual,No,12,Yes,No,1-10,20.66,No
Control,Peel,L5H,Premium Casual,No,2,Yes,Yes,10-20,15.08,No
Control,York,L9N,Casual Dining,No,4,Yes,Yes,10-20,17.49,No
Control,Durham,L0C,Casual Dining,Franchise,2,Yes,No,1-10,16.88,No
Control,York,L6B,Family Style,Franchise,25,Yes,No,1-10,16.95,No
Control,Halton,L6K,Casual Dining,No,5,Yes,No,10-20,18.08,No
Control,Toronto,M8V,Family Style,No,10,Yes,No,10-20,20.84,No
Control,Toronto,M5H,Premium Casual,Franchise,5,Yes,Yes,10-20,18.2,No
Control,Durham,L0E,Premium Casual,No,3,Yes,No,10-20,19.13,No
Control,Peel,L6P,Casual Dining,No,19,Yes,No,1-10,14.43,No
Control,York,L4E,Premium Casual,No,18,Yes,Yes,10-20,15.73,No
Control,York,L6B,Fast Casual,No,17,Yes,No,1-10,13.84,No
Control,Toronto,M6Y,Casual Dining,Franchise,4,No,No,1-10,15.02,No
Control,Toronto,M2Y,Family Style,No,18,Yes,Yes,1-10,17.22,No
Control,Durham,L1K,Fast Casual,No,8,Yes,No,10-20,17.59,No
Control,Toronto,M8G,Premium Casual,Franchise,14,Yes,No,10-20,18.01,No
Control,Toronto,M4J,Casual Dining,No,13,Yes,Yes,10-20,19.99,No
Control,York,L4P,Family Style,Franchise,0,Yes,Yes,1-10,20.1,No
Control,Durham,L1K,Casual Dining,No,6,Yes,No,1-10,19.6,No
Control,Toronto,M4V,Fast Casual,Franchise,7,Yes,Yes,1-10,15.12,No
Control,Peel,L6S,Fast Casual,No,20,Yes,No,20-30,19.04,No
Control,York,L4A,Premium Casual,Franchise,2,Yes,Yes,10-20,15.72,No
Control,Peel,L5W,Casual Dining,No,4,Yes,No,1-10,20.11,No
Control,Peel,L7K,Fast Casual,Franchise,16,Yes,Yes,1-10,15.11,No
Control,Peel,L6P,Fine Dining,No,2,Yes,No,1-10,15.55,No
Control,Peel,L4V,Premium Casual,No,5,Yes,Yes,10-20,19.52,No
Control,Toronto,M3D,Family Style,Franchise,21,Yes,Yes,10-20,13.56,No
Control,Toronto,M1K,Casual Dining,No,1,Yes,No,10-20,15.04,No
Control,Toronto,M0A,Family Style,Franchise,9,No,No,20-30,17.12,No
Control,Peel,L4Y,Fast Casual,No,1,Yes,No,1-10,20.63,No
Control,Durham,L0B,Fine Dining,No,11,Yes,Yes,1-10,15.73,No
Control,Toronto,M2A,Family Style,Franchise,6,Yes,Yes,10-20,14.4,No
Control,York,L3P,Premium Casual,Franchise,7,Yes,Yes,10-20,21.14,No
Control,Toronto,M8U,Fine Dining,No,6,Yes,Yes,10-20,23.44,No
Control,Durham,L1P,Fast Food,No,9,Yes,Yes,10-20,13.74,No
Control,Toronto,M8C,Fast Casual,No,7,Yes,Yes,10-20,21.1,No
Control,Peel,L4X,Fast Food,No,10,Yes,No,1-10,20.02,No
Control,Peel,L6X,Casual Dining,No,1,Yes,Yes,1-10,18.56,No
Control,Peel,L5J,Family Style,No,9,Yes,Yes,1-10,19.82,No
Control,Peel,L5N,Fine Dining,Franchise,2,Yes,Yes,1-10,19.79,No
Control,Toronto,M6F,Fast Casual,No,24,No,No,1-10,12.74,No
Control,Durham,L9L,Family Style,Franchise,10,Yes,Yes,1-10,14.21,No
Control,Durham,L0C,Casual Dining,No,12,Yes,Yes,1-10,13.03,No
Control,Durham,L0C,Fast Casual,No,7,Yes,No,10-20,17.62,No
Control,Peel,L6V,Family Style,Franchise,14,Yes,No,20-30,19.85,No
Control,Peel,L7K,Casual Dining,No,4,Yes,Yes,10-20,18.86,No
Control,Toronto,M0B,Fast Casual,No,9,No,Yes,10-20,15.8,No
Control,York,L3Y,Fast Food,No,0,No,No,1-10,16.58,No
Control,Halton,L9E,Casual Dining,Franchise,17,Yes,No,10-20,16.74,No
Control,York,L3S,Family Style,No,2,Yes,No,10-20,16.26,No
Control,Halton,L6J,Family Style,Franchise,5,Yes,Yes,10-20,19.19,No
Control,York,L0E,Family Style,No,13,Yes,No,10-20,20.29,No
Control,Toronto,M9H,Premium Casual,No,22,Yes,No,10-20,17.44,No
Control,York,L4B,Fast Food,No,7,No,Yes,10-20,18.53,No
Control,York,L7E,Family Style,No,2,Yes,No,10-20,15.78,No
Control,Halton,L7S,Premium Casual,No,10,No,Yes,10-20,23.19,No
Control,Toronto,M0K,Fast Casual,No,10,Yes,No,1-10,16.41,No
Control,Durham,L1J,Casual Dining,No,22,No,No,10-20,17.2,No
Control,Toronto,M6P,Casual Dining,No,25,Yes,No,10-20,15.61,No
Control,Halton,L0P,Casual Dining,Franchise,12,Yes,No,20-30,16.83,No
Control,Durham,L1Y,Fast Casual,No,16,No,Yes,1-10,18.37,No
Control,Halton,L6K,Family Style,No,3,Yes,No,1-10,15.31,No
Control,Halton,L9T,Fine Dining,No,6,Yes,No,10-20,14.45,No
Control,Peel,L7K,Casual Dining,No,9,Yes,No,1-10,15.38,No
Control,Halton,L7S,Fast Casual,Franchise,5,Yes,No,1-10,16.21,No
Control,York,L4H,Family Style,No,4,Yes,Yes,10-20,16.01,No
Control,Peel,L4Z,Fast Casual,No,9,Yes,Yes,10-20,17.42,No
Control,Toronto,M1Z,Fast Food,No,7,Yes,No,10-20,13.89,No
Control,York,L3Y,Fast Food,No,8,Yes,No,10-20,17.98,No
Control,York,L6A,Fine Dining,No,2,Yes,Yes,10-20,21.09,No
Control,Peel,L6P,Family Style,Franchise,14,Yes,Yes,1-10,15.55,No
Control,Peel,L7K,Fast Casual,No,5,Yes,No,1-10,16.37,No
Control,Peel,L7A,Family Style,No,10,Yes,No,10-20,16.96,No
Control,Toronto,M8H,Fast Casual,Franchise,9,Yes,Yes,1-10,20.4,No
Control,Toronto,M2F,Casual Dining,No,6,Yes,Yes,10-20,16.78,No
Control,York,L7E,Fast Casual,No,1,Yes,No,10-20,16.11,No
Control,Halton,L6H,Casual Dining,No,2,Yes,No,1-10,18.06,No
Control,Peel,L4T,Premium Casual,No,8,Yes,No,10-20,18.79,No
Control,Halton,L0P,Fast Casual,No,5,No,No,10-20,19.88,No
Control,Peel,L7A,Casual Dining,Franchise,11,Yes,No,10-20,17.01,No
Control,Toronto,M3E,Fast Food,No,13,Yes,Yes,10-20,15.98,No
Control,Durham,L1X,Fine Dining,Franchise,14,Yes,Yes,1-10,20.14,No
Control,Toronto,M7C,Fast Food,Franchise,7,Yes,Yes,1-10,15.55,No
Control,Toronto,M1R,Fast Food,Franchise,4,Yes,Yes,1-10,17.42,No
Control,Peel,L6X,Casual Dining,Franchise,4,Yes,No,1-10,20.75,No
Control,Toronto,M5I,Fast Casual,Franchise,10,Yes,No,20-30,20.02,No
Control,Durham,L0E,Family Style,No,7,Yes,No,10-20,17.32,No
Control,York,L0G,Family Style,Franchise,5,Yes,No,1-10,16.49,No
Control,Toronto,M4K,Premium Casual,No,8,Yes,No,1-10,15.41,No
Control,Durham,L0B,Casual Dining,No,16,Yes,Yes,10-20,14.5,No
Control,Toronto,M8M,Fast Food,No,11,Yes,No,1-10,13.14,No
Control,Peel,L6S,Family Style,No,11,Yes,Yes,10-20,14.79,No
Control,York,L6E,Family Style,No,17,Yes,Yes,1-10,16.57,No
Control,Durham,L9P,Fast Casual,Franchise,12,Yes,No,1-10,14.75,No
Control,Peel,L4Z,Premium Casual,No,14,Yes,No,1-10,22.41,No
Control,York,L3S,Casual Dining,No,12,Yes,No,1-10,18.67,No
Control,Toronto,M3G,Casual Dining,No,10,Yes,Yes,1-10,16.3,No
Control,Halton,L6J,Casual Dining,Franchise,10,No,No,1-10,13.05,No
Control,Toronto,M2Q,Family Style,No,15,Yes,No,10-20,15,No
Control,Halton,L7M,Family Style,No,9,Yes,No,10-20,18.35,No
Control,Durham,L0E,Fast Food,No,6,Yes,No,10-20,21.31,No
Control,Peel,L4Z,Casual Dining,Franchise,21,Yes,No,1-10,18.23,Yes
Control,Toronto,M8F,Premium Casual,Franchise,14,Yes,No,10-20,20.23,No
Control,Durham,L9L,Fast Food,No,13,Yes,Yes,10-20,18.42,No
Control,Peel,L6Y,Family Style,No,17,Yes,No,10-20,16.47,No
Control,Durham,L1S,Casual Dining,No,9,Yes,No,10-20,14.67,No
Control,Toronto,M7D,Premium Casual,No,13,Yes,No,10-20,20.36,No
Control,Peel,L5M,Fast Casual,No,9,Yes,Yes,1-10,19.71,No
Control,Durham,L1S,Casual Dining,Franchise,15,Yes,No,1-10,17.78,No
Control,York,L4A,Family Style,No,9,Yes,No,10-20,21.66,No
Control,Peel,L5W,Family Style,Franchise,5,Yes,No,1-10,18,No
Control,Toronto,M9I,Family Style,Franchise,4,Yes,Yes,1-10,16.87,No
Control,Peel,L7A,Family Style,Franchise,8,Yes,No,10-20,16.99,No
Control,Peel,L6S,Family Style,No,3,Yes,No,10-20,18.82,No
Control,York,L6A,Fine Dining,No,12,Yes,No,1-10,17.79,No
Control,York,L7E,Fine Dining,Franchise,13,Yes,Yes,1-10,20.72,No
Control,Peel,L7C,Premium Casual,No,15,Yes,No,1-10,20.66,No
Control,Toronto,M3G,Family Style,No,0,Yes,Yes,1-10,19.36,No
Control,Toronto,M5M,Fine Dining,No,5,Yes,Yes,10-20,17.75,No
Control,Toronto,M8Y,Fast Food,Franchise,18,Yes,Yes,1-10,21.83,No
Control,Peel,L7A,Fast Food,No,13,Yes,Yes,10-20,16.29,No
Control,Durham,L1N,Fine Dining,No,3,Yes,No,10-20,15.64,No
Control,York,L3Y,Family Style,No,9,Yes,No,1-10,19.05,No
Control,Durham,L0C,Premium Casual,Franchise,19,Yes,Yes,10-20,16.41,No
Control,Toronto,M3O,Fast Casual,Franchise,14,Yes,No,1-10,18.45,No
Control,Toronto,M0X,Fine Dining,Franchise,21,Yes,No,1-10,15.38,No
Control,Peel,L4Y,Casual Dining,No,14,Yes,No,1-10,18.97,No
Control,Toronto,M2A,Casual Dining,No,4,Yes,No,1-10,19.87,No
Control,York,L4L,Fast Casual,No,11,No,No,1-10,16.01,No
Control,Toronto,M2J,Family Style,No,5,Yes,Yes,1-10,16.07,No
Control,Toronto,M1E,Fast Food,No,21,Yes,Yes,10-20,14.57,No
Control,York,L4G,Casual Dining,No,17,Yes,No,1-10,21.6,No
Control,Durham,L1V,Family Style,No,21,Yes,Yes,1-10,19.36,No
Control,Peel,L7C,Fast Casual,Franchise,4,Yes,No,10-20,22.62,Yes
Control,York,L3S,Family Style,Franchise,28,Yes,No,10-20,23.56,No
Control,Toronto,M3P,Fast Casual,No,2,Yes,No,10-20,14.86,No
Control,Toronto,M5Q,Premium Casual,No,5,Yes,No,1-10,16.02,No
Control,York,L9N,Fast Casual,No,3,Yes,Yes,1-10,14.09,No
Control,York,L6C,Premium Casual,No,10,Yes,No,1-10,18.57,No
Control,Peel,L5T,Family Style,No,13,Yes,No,1-10,19.7,No
Control,York,L9N,Fast Casual,No,11,Yes,Yes,1-10,15.98,No
Control,Toronto,M0F,Fine Dining,No,16,Yes,No,10-20,19.59,No
Control,Halton,L6K,Casual Dining,No,11,Yes,No,1-10,16.32,No
Control,Toronto,M9J,Fine Dining,No,5,Yes,Yes,10-20,20.01,No
Control,York,L9N,Casual Dining,No,2,Yes,No,10-20,17.89,No
Control,Durham,L9L,Family Style,No,10,Yes,Yes,1-10,14.28,No
Control,Peel,L7A,Fast Food,Franchise,3,No,No,10-20,14.37,No
Control,Durham,L9L,Premium Casual,No,2,Yes,No,1-10,19.04,No
Control,Halton,L7S,Casual Dining,No,19,Yes,No,1-10,11.93,No
