type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10
Control,M0W,Toronto,Fast Food,No,13,Yes,No,13.84,No
Control,M7B,Toronto,Family Style,Franchise,4,Yes,Yes,20.35,No
Control,L6L,Halton,Fast Food,Franchise,8,No,No,19.82,No
Control,L9E,Halton,Fast Casual,No,12,Yes,No,16.7,No
Control,L0B,Durham,Premium Casual,Franchise,12,Yes,Yes,17.59,No
Control,L9N,York,Fast Casual,Franchise,21,Yes,No,17.32,No
Control,L5A,Peel,Fine Dining,Franchise,11,Yes,Yes,18.23,No
Control,L4V,Peel,Fast Casual,No,4,Yes,Yes,20.64,No
Control,M5C,Toronto,Premium Casual,No,10,Yes,No,16.71,No
Control,L6Y,Peel,Fine Dining,No,15,Yes,Yes,20.9,No
Control,L1L,Durham,Fine Dining,No,2,Yes,Yes,13.41,No
Control,L1S,Durham,Family Style,No,12,Yes,Yes,15.97,No
Control,M5H,Toronto,Fast Food,Franchise,1,Yes,Yes,24.38,No
Control,M9V,Toronto,Casual Dining,No,9,Yes,Yes,16.53,No
Control,M5J,Toronto,Casual Dining,No,22,Yes,Yes,18.3,No
Control,L6H,Halton,Premium Casual,No,10,Yes,Yes,14.87,No
Control,M2B,Toronto,Fast Casual,No,15,Yes,Yes,17.41,No
Control,L6X,Peel,Family Style,Franchise,16,Yes,No,14.53,No
Control,L5L,Peel,Fast Food,No,13,Yes,No,13.55,No
Control,L7P,Halton,Fast Casual,No,14,Yes,Yes,21.78,No
Control,L6V,Peel,Casual Dining,No,19,No,No,19.74,No
Control,L9N,York,Casual Dining,No,8,No,No,16.69,No
Control,L5J,Peel,Family Style,Franchise,7,Yes,No,16.38,No
Control,L4A,York,Family Style,Franchise,16,Yes,Yes,14.92,No
Control,M1N,Toronto,Family Style,Franchise,4,Yes,No,18.3,No
Control,L5J,Peel,Fast Casual,No,10,Yes,No,16.93,No
Control,L3P,York,Fast Food,Franchise,5,Yes,No,20.68,No
Control,M6U,Toronto,Family Style,No,9,Yes,Yes,22.66,No
Control,L7K,Peel,Casual Dining,No,15,Yes,No,19.11,No
Control,L0P,Halton,Fast Food,No,12,Yes,No,20.59,No
Control,M5Y,Toronto,Casual Dining,Franchise,1,Yes,No,16.61,No
Control,L4E,York,Casual Dining,No,4,Yes,No,17.43,No
Control,L7K,Peel,Family Style,No,20,Yes,No,13.1,No
Control,M4P,Toronto,Family Style,No,3,Yes,No,17.19,No
Control,M1A,Toronto,Fast Casual,No,10,Yes,No,19.13,No
Control,L0P,Halton,Premium Casual,Franchise,8,Yes,Yes,15.99,No
Control,L6S,Peel,Casual Dining,Franchise,8,Yes,No,19.81,No
Control,L7K,Peel,Casual Dining,Franchise,22,Yes,Yes,16.08,No
Control,M9V,Toronto,Casual Dining,No,18,Yes,No,16.62,No
Control,L6G,York,Casual Dining,No,2,No,No,20.03,No
Control,L6Z,Peel,Fast Food,No,4,Yes,Yes,15.61,No
Control,L1X,Durham,Casual Dining,No,20,Yes,Yes,20.15,No
Control,M0Q,Toronto,Fine Dining,Franchise,7,Yes,No,15.86,No
Control,L1M,Durham,Casual Dining,No,10,Yes,Yes,17.95,No
Control,L1S,Durham,Fast Food,No,14,Yes,No,14.03,No
Control,M4A,Toronto,Family Style,No,11,Yes,Yes,17.14,No
Control,L4E,York,Family Style,No,18,Yes,No,19.96,Yes
Control,L7K,Peel,Fine Dining,No,6,Yes,Yes,14.95,No
Control,M5Z,Toronto,Casual Dining,Franchise,17,Yes,No,16.6,No
Control,L4H,York,Family Style,Franchise,22,Yes,No,21.72,No
Control,M1L,Toronto,Casual Dining,Franchise,11,Yes,Yes,19.18,No
Control,L6H,Halton,Premium Casual,Franchise,2,Yes,Yes,18.94,No
Control,L9T,Halton,Family Style,Franchise,24,Yes,Yes,17.15,No
Control,M5T,Toronto,Fast Casual,No,25,Yes,Yes,13.68,No
Control,L9L,Durham,Fast Casual,No,1,Yes,Yes,18.42,No
Control,L6X,Peel,Family Style,Franchise,5,Yes,No,17.74,No
Control,L7A,Peel,Casual Dining,No,9,Yes,No,14.12,No
Control,L4T,Peel,Premium Casual,No,19,Yes,Yes,16.99,No
Control,M1Q,Toronto,Casual Dining,No,10,Yes,No,19.08,No
Control,L6T,Peel,Premium Casual,No,14,Yes,Yes,20.01,No
Control,M8Z,Toronto,Family Style,No,26,Yes,Yes,21.9,No
Control,L3R,York,Premium Casual,No,1,Yes,Yes,21.48,No
Control,L1V,Durham,Fast Casual,No,2,Yes,No,19.03,No
Control,L6M,Halton,Casual Dining,No,17,Yes,No,14.82,No
Control,L0H,York,Casual Dining,Franchise,7,Yes,No,17.15,No
Control,M3A,Toronto,Fast Casual,No,15,Yes,No,18.83,No
Control,L9T,Halton,Fast Casual,No,11,Yes,Yes,17.38,No
Control,L6S,Peel,Premium Casual,No,0,Yes,No,16.4,No
Control,M6E,Toronto,Casual Dining,Franchise,4,Yes,No,19.17,No
Control,L0P,Halton,Fast Casual,Franchise,21,Yes,No,14.92,No
Control,L1B,Durham,Fast Casual,Franchise,17,Yes,Yes,19.94,No
Control,M4X,Toronto,Casual Dining,No,15,Yes,No,17.73,No
Control,L9T,Halton,Fast Food,No,13,Yes,No,21.99,No
Control,L0C,Durham,Family Style,Franchise,12,Yes,No,19.92,No
Control,M4A,Toronto,Fast Casual,No,5,Yes,Yes,20.41,No
Control,M7J,Toronto,Family Style,No,8,No,Yes,17.04,No
Control,M3C,Toronto,Family Style,No,9,Yes,No,13.71,No
Control,M4E,Toronto,Fine Dining,Franchise,22,Yes,No,21.03,No
Control,L7K,Peel,Fast Food,No,11,Yes,No,20.28,No
Control,M2K,Toronto,Fine Dining,No,0,Yes,No,18.3,No
Control,M3G,Toronto,Casual Dining,No,8,Yes,No,23.98,No
Control,M3I,Toronto,Family Style,No,12,Yes,No,19.41,No
Control,L6C,York,Fast Food,No,17,Yes,Yes,17.72,No
Control,L6W,Peel,Fast Casual,Franchise,4,Yes,No,16.15,No
Control,L3Y,York,Fast Casual,No,3,Yes,No,20.69,No
Control,M9B,Toronto,Fast Casual,No,5,Yes,Yes,17.02,No
Control,L0P,Halton,Family Style,No,8,Yes,No,14.78,No
Control,L1Z,Durham,Premium Casual,No,8,Yes,Yes,15.48,No
Control,L3Y,York,Fast Casual,Franchise,3,No,No,19.07,No
Control,L9L,Durham,Casual Dining,No,9,Yes,No,17.86,No
Control,L0B,Durham,Family Style,No,11,Yes,Yes,17.34,No
Control,L1T,Durham,Premium Casual,Franchise,13,Yes,No,13.75,No
Control,L1Y,Durham,Premium Casual,No,8,Yes,No,17.52,No
Control,L0P,Halton,Family Style,No,2,Yes,Yes,17.38,No
Control,L0B,Durham,Fast Casual,Franchise,3,Yes,Yes,17.77,No
Control,M1H,Toronto,Premium Casual,No,7,Yes,Yes,16.21,No
Control,M9R,Toronto,Fine Dining,No,7,Yes,No,19.25,No
Control,L4T,Peel,Fast Casual,No,2,Yes,Yes,16.56,Yes
Control,L9N,York,Family Style,No,14,Yes,Yes,17.67,No
Control,L7M,Halton,Fast Casual,No,8,Yes,Yes,15.06,No
Control,L1S,Durham,Casual Dining,No,8,Yes,No,15.45,No
Control,M9N,Toronto,Casual Dining,No,16,No,Yes,13.43,No
Control,L6A,York,Casual Dining,No,23,Yes,Yes,18.65,No
Control,L9N,York,Fast Casual,No,13,Yes,Yes,20.45,No
Control,L5E,Peel,Premium Casual,No,19,Yes,No,14.05,No
Control,L5S,Peel,Premium Casual,No,13,Yes,Yes,16.18,No
Control,L0E,York,Family Style,Franchise,10,Yes,No,22.8,Yes
Control,L0P,Halton,Fast Casual,No,8,Yes,No,18.78,No
Control,M9H,Toronto,Casual Dining,No,24,Yes,No,13.79,No
Control,M8E,Toronto,Family Style,No,4,Yes,Yes,14.26,No
Control,L6X,Peel,Premium Casual,No,12,Yes,Yes,15.88,No
Control,M3K,Toronto,Fine Dining,Franchise,0,Yes,No,17.38,No
Control,L9E,Halton,Casual Dining,No,14,Yes,No,15.88,No
Control,M4T,Toronto,Premium Casual,Franchise,9,Yes,No,18.83,No
Control,L1V,Durham,Casual Dining,Franchise,5,No,Yes,16.54,No
Control,L9L,Durham,Fast Casual,Franchise,12,Yes,Yes,17.64,Yes
Control,M6H,Toronto,Family Style,Franchise,7,Yes,No,16.83,No
Control,L3P,York,Premium Casual,No,19,No,Yes,18.43,No
Control,L6R,Peel,Family Style,No,6,Yes,Yes,13.64,No
Control,L1T,Durham,Fine Dining,No,19,Yes,No,17.84,No
Control,M5Z,Toronto,Fast Casual,No,10,Yes,Yes,18.84,No
Control,L0B,Durham,Fast Food,Franchise,15,Yes,Yes,19.66,No
Control,M6W,Toronto,Fast Food,Franchise,4,Yes,Yes,16.44,No
Control,M6U,Toronto,Premium Casual,No,14,Yes,Yes,21.52,No
Control,L9N,York,Premium Casual,No,13,Yes,No,17.5,No
Control,M7N,Toronto,Fast Food,No,8,Yes,No,13.73,No
Control,M3Q,Toronto,Casual Dining,No,5,Yes,Yes,19.72,No
Control,M0B,Toronto,Fast Casual,No,4,Yes,No,13.68,No
Control,L0B,Durham,Fast Food,No,20,Yes,No,16.82,No
Control,M1S,Toronto,Fine Dining,No,6,Yes,Yes,15.34,No
Control,L5E,Peel,Family Style,Franchise,1,Yes,Yes,17.69,No
Control,L9N,York,Family Style,No,10,Yes,Yes,15.47,No
Control,L6S,Peel,Family Style,Franchise,4,Yes,No,16.79,No
Control,M5J,Toronto,Casual Dining,No,6,Yes,Yes,20.2,No
Control,L7B,York,Fast Food,No,10,Yes,Yes,20.39,No
Control,M0S,Toronto,Family Style,Franchise,1,Yes,Yes,15.32,No
Control,L6C,York,Fast Casual,No,12,Yes,Yes,15.77,No
Control,L7A,Peel,Fine Dining,No,15,Yes,No,19.99,No
Control,L4V,Peel,Casual Dining,No,10,No,No,19.63,No
Control,M8B,Toronto,Fast Casual,No,9,Yes,No,15.67,No
Control,L4T,Peel,Fast Food,Franchise,14,Yes,No,15.59,No
Control,M2L,Toronto,Premium Casual,No,3,Yes,No,20.9,No
Control,L4Z,Peel,Family Style,Franchise,5,Yes,No,15.68,No
Control,L4X,Peel,Fine Dining,No,10,No,No,17.81,No
Control,M1T,Toronto,Casual Dining,No,6,Yes,No,15.68,No
Control,M7W,Toronto,Fast Food,No,6,No,Yes,17.97,No
Control,L5V,Peel,Family Style,No,27,Yes,No,18.98,No
Control,L6M,Halton,Fast Casual,No,3,Yes,No,20.86,No
Control,L6M,Halton,Casual Dining,No,7,Yes,No,15.19,No
Control,L6P,Peel,Family Style,No,12,Yes,No,16.65,No
Control,L7C,Peel,Casual Dining,No,4,Yes,No,20.35,No
Control,L6K,Halton,Fast Food,No,10,Yes,No,15.27,No
Control,L3X,York,Casual Dining,No,13,No,No,13.38,No
Control,L4C,York,Casual Dining,Franchise,9,Yes,Yes,16.09,No
Control,M3J,Toronto,Premium Casual,No,16,Yes,No,15.41,No
Control,L7C,Peel,Casual Dining,Franchise,10,Yes,No,18.29,No
Control,L4T,Peel,Premium Casual,No,14,Yes,No,12.95,No
Control,L7M,Halton,Fine Dining,No,1,Yes,Yes,16.28,No
Control,M9A,Toronto,Family Style,Franchise,13,Yes,No,11.07,No
Control,L0G,York,Casual Dining,Franchise,7,Yes,No,16.41,No
Control,L6B,York,Fast Casual,No,15,No,No,19.93,No
Control,M6H,Toronto,Fine Dining,Franchise,15,Yes,Yes,16.17,No
Control,L7E,York,Fast Casual,No,9,Yes,Yes,17.94,No
Control,L4W,Peel,Fast Food,Franchise,6,Yes,No,23.43,No
Control,L7K,Peel,Fast Casual,No,19,Yes,Yes,17.06,No
Control,L1X,Durham,Family Style,No,19,No,Yes,17.66,No
Control,L9E,Halton,Fast Casual,Franchise,18,Yes,No,19.01,No
Control,M3P,Toronto,Premium Casual,No,5,Yes,Yes,19.88,No
Control,L7E,York,Fast Food,No,0,Yes,No,19.54,No
Control,M7P,Toronto,Premium Casual,No,7,Yes,No,19.74,No
Control,L3R,York,Fast Food,No,11,Yes,No,18.5,No
Control,L6S,Peel,Casual Dining,No,1,Yes,Yes,19.12,No
Control,L4Z,Peel,Casual Dining,Franchise,1,No,Yes,16.77,No
Control,L6T,Peel,Fast Food,Franchise,8,Yes,No,19.13,No
Control,M1P,Toronto,Family Style,No,15,Yes,No,12.83,No
Control,L4V,Peel,Premium Casual,Franchise,5,Yes,Yes,18.03,No
Control,L1G,Durham,Fast Casual,No,11,Yes,No,18.46,No
Control,M5W,Toronto,Family Style,No,21,No,Yes,14.26,No
Control,L5A,Peel,Casual Dining,No,4,Yes,Yes,15.01,No
Control,M5B,Toronto,Premium Casual,No,13,Yes,No,17.97,No
Control,L9P,Durham,Casual Dining,Franchise,7,Yes,No,13.16,No
Control,M8S,Toronto,Casual Dining,No,1,Yes,No,16.13,No
Control,M0H,Toronto,Fast Casual,No,4,Yes,No,17.37,No
Control,L9L,Durham,Premium Casual,No,23,No,No,14.37,No
Control,L1B,Durham,Casual Dining,No,8,Yes,No,17.74,No
Control,L7A,Peel,Family Style,No,18,Yes,No,15.33,No
Control,L6R,Peel,Fast Casual,Franchise,8,Yes,No,16.24,No
Control,L4W,Peel,Family Style,No,2,Yes,No,16.82,No
Control,M0P,Toronto,Fast Casual,No,16,Yes,No,15.47,No
Control,L4X,Peel,Family Style,Franchise,15,Yes,No,18.38,No
Control,L6J,Halton,Family Style,Franchise,8,Yes,Yes,17.07,No
Control,L7T,Halton,Casual Dining,No,21,Yes,No,17.16,No
Control,M4C,Toronto,Casual Dining,No,8,No,No,19.48,No
Control,L9L,Durham,Casual Dining,No,16,Yes,Yes,16.97,No
Control,L5M,Peel,Fast Casual,No,1,Yes,No,17.67,No
Control,L4V,Peel,Fast Food,Franchise,7,No,Yes,15.68,No
Control,L1X,Durham,Casual Dining,No,5,Yes,Yes,11.68,No
Control,M8J,Toronto,Fast Casual,Franchise,8,No,No,14.98,No
Control,M0G,Toronto,Casual Dining,Franchise,3,Yes,Yes,16.35,No
Control,L1T,Durham,Premium Casual,Franchise,3,Yes,No,16.51,No
Control,L9N,York,Casual Dining,No,26,No,No,17.7,No
Control,L0H,York,Family Style,Franchise,3,No,No,16.73,No
Control,L6C,York,Fast Casual,No,10,Yes,No,15.05,No
Control,L0P,Halton,Fast Casual,No,19,Yes,No,19.52,No
Control,L0E,York,Family Style,Franchise,12,Yes,No,15.54,No
Control,M4Y,Toronto,Casual Dining,No,11,Yes,Yes,21.9,No
Control,M8Q,Toronto,Fast Food,No,5,Yes,Yes,20.12,No
Control,L0B,Durham,Fast Food,No,10,Yes,No,20.43,No
Control,M7O,Toronto,Fast Food,No,10,No,No,18.38,No
Control,L9E,Halton,Family Style,No,10,No,Yes,17.1,No
Control,L6A,York,Family Style,No,8,No,Yes,16.23,No
Control,L5R,Peel,Casual Dining,No,2,Yes,Yes,13.96,No
Control,M8I,Toronto,Fast Casual,Franchise,2,Yes,Yes,23.11,No
Control,L6X,Peel,Fine Dining,No,8,Yes,No,21.83,No
Control,L9N,York,Fast Casual,No,10,Yes,No,18.4,No
Control,L0G,York,Fine Dining,No,12,Yes,No,15.94,No
Control,L6H,Halton,Fast Casual,No,15,Yes,Yes,15.12,No
Control,L4T,Peel,Casual Dining,Franchise,19,Yes,No,14.23,No
Control,L0B,Durham,Fast Casual,Franchise,15,Yes,Yes,19.8,No
Control,L0E,Durham,Premium Casual,No,10,Yes,No,15.42,No
Control,M4C,Toronto,Fine Dining,Franchise,15,Yes,Yes,20.18,No
Control,L4W,Peel,Casual Dining,No,0,No,No,18.55,No
Control,L0B,Durham,Premium Casual,No,5,Yes,Yes,15.6,No
Control,L6B,York,Casual Dining,No,6,Yes,No,20.28,No
Control,M2F,Toronto,Fine Dining,No,12,Yes,No,14.31,No
Control,L0C,Durham,Fast Food,No,14,Yes,Yes,15.37,No
Control,L9N,York,Fine Dining,No,4,No,Yes,18.84,No
Control,M7F,Toronto,Fine Dining,Franchise,12,Yes,Yes,15.77,No
Control,L7C,Peel,Family Style,No,5,Yes,No,19.12,No
Control,L6R,Peel,Fine Dining,No,6,Yes,No,21.23,No
Control,L7K,Peel,Premium Casual,No,18,No,Yes,21.34,No
Control,M8H,Toronto,Family Style,No,16,Yes,Yes,16.39,No
Control,L4E,York,Casual Dining,Franchise,6,Yes,Yes,16.61,No
Control,L7A,Peel,Fast Casual,Franchise,10,Yes,Yes,16.03,No
Control,M2N,Toronto,Premium Casual,Franchise,1,No,No,15.22,No
Control,L0P,Halton,Family Style,No,8,Yes,Yes,14.46,No
Control,L9N,York,Fast Casual,No,13,No,No,19.22,No
Control,L1N,Durham,Family Style,No,4,Yes,Yes,16.99,No
Control,M5T,Toronto,Family Style,No,16,Yes,Yes,17.78,No
Control,M5J,Toronto,Casual Dining,No,9,Yes,No,15.36,No
Control,L7N,Halton,Premium Casual,No,3,Yes,No,15.38,No
Control,L1K,Durham,Fast Food,No,12,Yes,No,16.23,No
Control,M2T,Toronto,Family Style,Franchise,4,Yes,No,15.6,No
Control,L0P,Halton,Fast Food,Franchise,18,Yes,Yes,13.66,No
Control,L9P,Durham,Fast Casual,No,20,Yes,Yes,16.6,No
Control,M0U,Toronto,Casual Dining,Franchise,12,Yes,No,17.2,No
Control,L0E,Durham,Fast Food,Franchise,3,Yes,No,18.71,No
Control,L9L,Durham,Casual Dining,Franchise,3,Yes,Yes,16.51,No
Control,M5B,Toronto,Casual Dining,Franchise,16,Yes,No,13.85,No
Control,L0P,Halton,Family Style,No,6,Yes,No,19.28,No
Control,M6U,Toronto,Casual Dining,No,14,Yes,Yes,14.18,No
Control,L9N,York,Fast Food,No,0,Yes,Yes,16.49,No
Control,L5B,Peel,Premium Casual,No,1,Yes,Yes,21.69,No
Control,L9E,Halton,Casual Dining,Franchise,15,Yes,Yes,16.52,No
Control,L0H,York,Fast Food,No,14,Yes,No,19.15,No
Control,L6Z,Peel,Casual Dining,Franchise,18,No,No,16.96,No
Control,L9N,York,Family Style,No,15,Yes,Yes,16.07,No
Control,M1O,Toronto,Premium Casual,No,6,Yes,No,13.85,No
Control,L9N,York,Fast Food,No,8,Yes,No,22.01,No
Control,M8P,Toronto,Family Style,Franchise,4,Yes,Yes,20.39,No
Control,L6V,Peel,Fast Casual,No,18,Yes,No,12.86,No
Control,L7C,Peel,Casual Dining,No,10,Yes,Yes,12.73,No
Control,L4W,Peel,Fine Dining,No,12,Yes,Yes,14.37,No
Control,L4X,Peel,Casual Dining,No,2,No,No,16.94,No
Control,L6Y,Peel,Fast Food,No,11,Yes,Yes,14.87,No
Control,L1P,Durham,Fast Food,Franchise,15,Yes,Yes,18.71,No
Control,M4W,Toronto,Fast Casual,No,14,Yes,Yes,12.07,No
Control,L9N,York,Casual Dining,Franchise,15,Yes,No,20.07,No
Control,L7C,Peel,Fast Food,Franchise,10,Yes,No,18.39,No
Control,L9P,Durham,Family Style,No,15,Yes,Yes,17.99,No
Control,L5A,Peel,Fast Food,No,9,No,Yes,18.76,No
Control,M9F,Toronto,Casual Dining,Franchise,2,Yes,No,17.59,No
Control,L4H,York,Family Style,No,12,Yes,No,18.89,No
Control,M8G,Toronto,Fast Food,No,7,Yes,No,19.4,No
Control,M7E,Toronto,Fast Casual,No,17,Yes,No,15.75,No
Control,L1X,Durham,Family Style,No,0,Yes,No,14.78,No
Control,M2X,Toronto,Casual Dining,No,11,Yes,No,19.93,No
Control,M6U,Toronto,Fast Casual,No,6,Yes,Yes,21.66,No
Control,L7M,Halton,Family Style,No,6,Yes,Yes,20.68,No
Control,M0X,Toronto,Premium Casual,Franchise,8,Yes,Yes,12.76,No
Control,L5P,Peel,Premium Casual,Franchise,1,No,No,18.66,No
Control,L9L,Durham,Family Style,Franchise,8,Yes,No,15.21,No
Control,L9E,Halton,Casual Dining,No,9,Yes,No,18.36,No
Control,M9K,Toronto,Casual Dining,Franchise,6,Yes,Yes,16.11,No
Control,L6W,Peel,Casual Dining,Franchise,13,Yes,Yes,21.82,No
Control,M8X,Toronto,Family Style,Franchise,11,Yes,Yes,15.66,No
Control,L5N,Peel,Premium Casual,Franchise,6,Yes,No,15.01,No
Control,L3X,York,Fast Casual,No,8,Yes,Yes,17,No
Control,L5C,Peel,Fast Food,Franchise,7,Yes,No,15.4,No
Control,M2A,Toronto,Casual Dining,No,9,Yes,No,17.71,No
Control,L3P,York,Casual Dining,Franchise,28,Yes,No,20.27,No
Control,L7M,Halton,Family Style,No,12,Yes,Yes,20.28,No
Control,L4L,York,Casual Dining,No,22,Yes,No,19.5,No
Control,L9N,York,Fast Casual,Franchise,16,Yes,Yes,23.77,No
Control,L7A,Peel,Casual Dining,No,14,Yes,No,13.6,No
Control,M9W,Toronto,Casual Dining,Franchise,14,Yes,No,19.37,No
Control,L4X,Peel,Premium Casual,No,10,Yes,Yes,16.24,No
Control,M7V,Toronto,Fast Food,No,11,Yes,Yes,21.33,No
Control,L6R,Peel,Family Style,No,14,Yes,No,16.03,No
Control,M2T,Toronto,Premium Casual,No,7,No,No,19.5,No
Control,M4Z,Toronto,Casual Dining,No,2,No,No,17.9,No
Control,L0B,Durham,Casual Dining,Franchise,26,Yes,No,18.86,No
Control,M0R,Toronto,Fast Casual,No,7,Yes,No,15.71,No
Control,M4A,Toronto,Premium Casual,Franchise,2,No,Yes,17.52,No
Control,M0W,Toronto,Family Style,No,11,Yes,No,15.41,No
Control,L1Y,Durham,Fast Casual,No,13,Yes,No,15.02,No
Control,M7P,Toronto,Casual Dining,Franchise,15,Yes,No,19.99,No
Control,L0P,Halton,Fine Dining,No,13,Yes,No,19.98,No
Control,L0P,Halton,Casual Dining,Franchise,3,No,No,17.69,No
Control,L9P,Durham,Premium Casual,No,4,Yes,No,17.46,No
Control,L4C,York,Fast Food,No,5,Yes,Yes,23.86,No
Control,M1X,Toronto,Family Style,Franchise,8,Yes,Yes,21.95,No
Control,L9N,York,Fast Food,Franchise,5,Yes,No,14.44,No
Control,L6B,York,Fine Dining,No,12,No,No,18.91,No
Control,L9E,Halton,Premium Casual,No,16,Yes,Yes,22.18,No
Control,M3Q,Toronto,Fine Dining,No,12,Yes,No,20.72,No
Control,M4C,Toronto,Premium Casual,No,11,Yes,No,15.27,No
Control,L4Y,Peel,Premium Casual,No,11,Yes,Yes,13.34,No
Control,M5V,Toronto,Fast Casual,No,9,Yes,No,15.45,No
Control,L6A,York,Fast Casual,No,2,Yes,Yes,17.7,No
Control,L3S,York,Family Style,No,6,Yes,No,19.27,No
Control,L0P,Halton,Fast Food,No,1,Yes,Yes,15.61,No
Control,L0C,Durham,Premium Casual,No,18,Yes,No,15.88,No
Control,L7L,Halton,Fine Dining,No,4,Yes,No,17.87,No
Control,L6V,Peel,Family Style,No,7,Yes,No,23.69,No
Control,L0N,York,Fast Food,Franchise,0,Yes,Yes,15.39,Yes
Control,M3E,Toronto,Premium Casual,No,2,Yes,No,14.79,No
Control,M9D,Toronto,Premium Casual,No,6,Yes,No,15.17,No
Control,L7K,Peel,Premium Casual,Franchise,25,No,No,16.07,No
Control,M2D,Toronto,Fast Food,Franchise,10,Yes,Yes,16.91,No
Control,L3R,York,Casual Dining,No,13,Yes,Yes,20.88,No
Control,M0S,Toronto,Casual Dining,No,9,Yes,No,19.19,No
Control,L7C,Peel,Casual Dining,No,6,Yes,Yes,17.12,No
Control,M4H,Toronto,Fast Food,No,10,Yes,No,15.41,No
Control,L7C,Peel,Fast Casual,Franchise,12,Yes,No,16.62,No
Control,L1T,Durham,Premium Casual,No,1,No,No,20.5,No
Control,L6B,York,Family Style,No,1,Yes,Yes,20.74,No
Control,L6K,Halton,Fast Food,Franchise,2,No,Yes,17.51,No
Control,L6M,Halton,Fine Dining,No,16,Yes,No,20.56,No
Control,L9E,Halton,Fast Food,No,13,Yes,Yes,17.84,No
Control,L9T,Halton,Family Style,Franchise,12,Yes,No,18.5,No
Control,L6P,Peel,Fast Casual,No,7,Yes,No,22.15,No
Control,L4P,York,Casual Dining,No,15,Yes,Yes,13.7,No
Control,L4Z,Peel,Premium Casual,No,4,Yes,No,17.54,No
Control,L7K,Peel,Casual Dining,No,11,Yes,No,20.19,No
Control,L3R,York,Fine Dining,No,7,Yes,No,21.15,No
Control,L6E,York,Fine Dining,No,7,Yes,No,20.66,No
Control,M4X,Toronto,Family Style,No,12,Yes,No,15.69,No
Control,L0B,Durham,Fast Food,No,2,Yes,No,22.48,No
Control,L4W,Peel,Casual Dining,No,7,Yes,No,15.21,No
Control,L7K,Peel,Fast Casual,Franchise,6,Yes,No,18.7,No
Control,L0C,Durham,Fine Dining,No,4,Yes,No,21.27,No
Control,L7B,York,Premium Casual,No,9,Yes,Yes,18.45,No
Control,L4G,York,Fast Food,No,14,Yes,Yes,13.52,No
